timestamp,buffer_voltage_mv,resistance,pwr_pw
1722516668914,43,1000000,1849
1722516668918,43,1000000,1849
1722516668922,45,1000000,2025
1722516668926,43,1000000,1849
1722516668930,43,1000000,1849
1722516668934,42,1000000,1764
1722516668938,42,1000000,1764
1722516668942,45,1000000,2025
1722516668945,44,1000000,1936
1722516668950,43,1000000,1849
1722516668954,42,1000000,1764
1722516668958,43,1000000,1849
1722516668962,44,1000000,1936
1722516668966,44,1000000,1936
1722516668970,43,1000000,1849
1722516668974,42,1000000,1764
1722516668978,43,1000000,1849
1722516668982,45,1000000,2025
1722516668986,43,1000000,1849
1722516668990,43,1000000,1849
1722516668995,43,1000000,1849
1722516668999,43,1000000,1849
1722516669003,45,1000000,2025
1722516669007,43,1000000,1849
1722516669011,43,1000000,1849
1722516669015,43,1000000,1849
1722516669019,43,1000000,1849
1722516669023,45,1000000,2025
1722516669027,43,1000000,1849
1722516669031,43,1000000,1849
1722516669035,42,1000000,1764
1722516669039,43,1000000,1849
1722516669043,45,1000000,2025
1722516669047,44,1000000,1936
1722516669051,43,1000000,1849
1722516669055,43,1000000,1849
1722516669059,43,1000000,1849
1722516669063,45,1000000,2025
1722516669067,43,1000000,1849
1722516669071,43,1000000,1849
1722516669075,43,1000000,1849
1722516669079,42,1000000,1764
1722516669083,45,1000000,2025
1722516669088,43,1000000,1849
1722516669092,43,1000000,1849
1722516669096,43,1000000,1849
1722516669100,43,1000000,1849
1722516669104,45,1000000,2025
1722516669108,43,1000000,1849
1722516669112,43,1000000,1849
1722516669116,43,1000000,1849
1722516669120,43,1000000,1849
1722516669124,44,1000000,1936
1722516669128,43,1000000,1849
1722516669132,42,1000000,1764
1722516669136,42,1000000,1764
1722516669140,43,1000000,1849
1722516669143,45,1000000,2025
1722516669147,43,1000000,1849
1722516669151,43,1000000,1849
1722516669155,43,1000000,1849
1722516669159,43,1000000,1849
1722516669163,45,1000000,2025
1722516669167,43,1000000,1849
1722516669171,42,1000000,1764
1722516669175,42,1000000,1764
1722516669179,43,1000000,1849
1722516669183,44,1000000,1936
1722516669187,43,1000000,1849
1722516669192,42,1000000,1764
1722516669196,43,1000000,1849
1722516669200,43,1000000,1849
1722516669204,45,1000000,2025
1722516669208,43,1000000,1849
1722516669212,42,1000000,1764
1722516669216,42,1000000,1764
1722516669220,43,1000000,1849
1722516669224,45,1000000,2025
1722516669228,43,1000000,1849
1722516669232,42,1000000,1764
1722516669236,43,1000000,1849
1722516669239,43,1000000,1849
1722516669244,45,1000000,2025
1722516669248,43,1000000,1849
1722516669252,42,1000000,1764
1722516669256,42,1000000,1764
1722516669260,43,1000000,1849
1722516669264,44,1000000,1936
1722516669268,43,1000000,1849
1722516669272,42,1000000,1764
1722516669276,43,1000000,1849
1722516669280,43,1000000,1849
1722516669284,44,1000000,1936
1722516669288,43,1000000,1849
1722516669293,42,1000000,1764
1722516669297,42,1000000,1764
1722516669301,43,1000000,1849
1722516669305,44,1000000,1936
1722516669309,43,1000000,1849
1722516669313,43,1000000,1849
1722516669317,42,1000000,1764
1722516669321,44,1000000,1936
1722516669325,44,1000000,1936
1722516669329,43,1000000,1849
1722516669333,42,1000000,1764
1722516669336,42,1000000,1764
1722516669340,43,1000000,1849
1722516669345,44,1000000,1936
1722516669349,43,1000000,1849
1722516669353,42,1000000,1764
1722516669357,42,1000000,1764
1722516669361,43,1000000,1849
1722516669365,44,1000000,1936
1722516669369,43,1000000,1849
1722516669373,42,1000000,1764
1722516669377,42,1000000,1764
1722516669381,43,1000000,1849
1722516669385,44,1000000,1936
1722516669389,43,1000000,1849
1722516669394,42,1000000,1764
1722516669398,42,1000000,1764
1722516669402,44,1000000,1936
1722516669406,44,1000000,1936
1722516669410,43,1000000,1849
1722516669414,42,1000000,1764
1722516669418,42,1000000,1764
1722516669422,44,1000000,1936
1722516669426,44,1000000,1936
1722516669430,43,1000000,1849
1722516669434,42,1000000,1764
1722516669438,42,1000000,1764
1722516669441,44,1000000,1936
1722516669446,44,1000000,1936
1722516669450,43,1000000,1849
1722516669454,42,1000000,1764
1722516669458,42,1000000,1764
1722516669462,44,1000000,1936
1722516669466,44,1000000,1936
1722516669470,43,1000000,1849
1722516669474,42,1000000,1764
1722516669478,42,1000000,1764
1722516669482,45,1000000,2025
1722516669486,44,1000000,1936
1722516669490,43,1000000,1849
1722516669495,43,1000000,1849
1722516669499,43,1000000,1849
1722516669503,45,1000000,2025
1722516669507,44,1000000,1936
1722516669510,43,1000000,1849
1722516669514,43,1000000,1849
1722516669518,43,1000000,1849
1722516669522,45,1000000,2025
1722516669526,43,1000000,1849
1722516669530,43,1000000,1849
1722516669534,42,1000000,1764
1722516669538,43,1000000,1849
1722516669542,45,1000000,2025
1722516669546,44,1000000,1936
1722516669550,43,1000000,1849
1722516669554,42,1000000,1764
1722516669558,42,1000000,1764
1722516669562,45,1000000,2025
1722516669566,43,1000000,1849
1722516669570,43,1000000,1849
1722516669574,43,1000000,1849
1722516669578,43,1000000,1849
1722516669582,45,1000000,2025
1722516669586,43,1000000,1849
1722516669590,43,1000000,1849
1722516669595,42,1000000,1764
1722516669599,43,1000000,1849
1722516669603,45,1000000,2025
1722516669607,43,1000000,1849
1722516669611,43,1000000,1849
1722516669615,43,1000000,1849
1722516669619,43,1000000,1849
1722516669623,45,1000000,2025
1722516669627,43,1000000,1849
1722516669631,42,1000000,1764
1722516669635,42,1000000,1764
1722516669639,43,1000000,1849
1722516669642,45,1000000,2025
1722516669647,43,1000000,1849
1722516669651,43,1000000,1849
1722516669655,42,1000000,1764
1722516669659,43,1000000,1849
1722516669663,45,1000000,2025
1722516669667,43,1000000,1849
1722516669671,43,1000000,1849
1722516669675,42,1000000,1764
1722516669679,42,1000000,1764
1722516669683,44,1000000,1936
1722516669687,43,1000000,1849
1722516669691,42,1000000,1764
1722516669695,43,1000000,1849
1722516669700,43,1000000,1849
1722516669704,44,1000000,1936
1722516669708,43,1000000,1849
1722516669712,42,1000000,1764
1722516669716,42,1000000,1764
1722516669720,42,1000000,1764
1722516669724,45,1000000,2025
1722516669728,43,1000000,1849
1722516669732,42,1000000,1764
1722516669736,43,1000000,1849
1722516669740,43,1000000,1849
1722516669743,45,1000000,2025
1722516669747,43,1000000,1849
1722516669752,42,1000000,1764
1722516669756,43,1000000,1849
1722516669760,43,1000000,1849
1722516669764,44,1000000,1936
1722516669768,43,1000000,1849
1722516669772,42,1000000,1764
1722516669776,43,1000000,1849
1722516669780,43,1000000,1849
1722516669784,44,1000000,1936
1722516669788,43,1000000,1849
1722516669792,42,1000000,1764
1722516669797,42,1000000,1764
1722516669801,43,1000000,1849
1722516669805,45,1000000,2025
1722516669809,43,1000000,1849
1722516669813,42,1000000,1764
1722516669817,42,1000000,1764
1722516669821,43,1000000,1849
1722516669825,44,1000000,1936
1722516669829,43,1000000,1849
1722516669833,42,1000000,1764
1722516669837,42,1000000,1764
1722516669841,43,1000000,1849
1722516669845,44,1000000,1936
1722516669848,43,1000000,1849
1722516669853,42,1000000,1764
1722516669857,42,1000000,1764
1722516669861,43,1000000,1849
1722516669865,44,1000000,1936
1722516669869,43,1000000,1849
1722516669873,42,1000000,1764
1722516669877,42,1000000,1764
1722516669881,43,1000000,1849
1722516669885,45,1000000,2025
1722516669889,43,1000000,1849
1722516669893,42,1000000,1764
1722516669896,42,1000000,1764
1722516669900,44,1000000,1936
1722516669905,44,1000000,1936
1722516669909,43,1000000,1849
1722516669913,42,1000000,1764
1722516669917,42,1000000,1764
1722516669921,43,1000000,1849
1722516669925,44,1000000,1936
1722516669929,43,1000000,1849
1722516669933,42,1000000,1764
1722516669937,42,1000000,1764
1722516669941,43,1000000,1849
1722516669945,43,1000000,1849
1722516669949,43,1000000,1849
1722516669952,42,1000000,1764
1722516669956,42,1000000,1764
1722516669961,43,1000000,1849
1722516669965,44,1000000,1936
1722516669969,43,1000000,1849
1722516669973,42,1000000,1764
1722516669977,42,1000000,1764
1722516669981,44,1000000,1936
1722516669985,44,1000000,1936
1722516669989,43,1000000,1849
1722516669993,42,1000000,1764
1722516669998,43,1000000,1849
1722516670001,44,1000000,1936
1722516670005,44,1000000,1936
1722516670010,43,1000000,1849
1722516670014,43,1000000,1849
1722516670018,42,1000000,1764
1722516670022,44,1000000,1936
1722516670026,44,1000000,1936
1722516670030,43,1000000,1849
1722516670034,42,1000000,1764
1722516670038,43,1000000,1849
1722516670042,45,1000000,2025
1722516670046,43,1000000,1849
1722516670050,43,1000000,1849
1722516670054,43,1000000,1849
1722516670057,42,1000000,1764
1722516670062,45,1000000,2025
1722516670066,43,1000000,1849
1722516670070,43,1000000,1849
1722516670074,42,1000000,1764
1722516670078,43,1000000,1849
1722516670082,45,1000000,2025
1722516670086,44,1000000,1936
1722516670090,43,1000000,1849
1722516670094,43,1000000,1849
1722516670098,43,1000000,1849
1722516670102,45,1000000,2025
1722516670106,43,1000000,1849
1722516670111,43,1000000,1849
1722516670115,42,1000000,1764
1722516670119,43,1000000,1849
1722516670123,45,1000000,2025
1722516670127,43,1000000,1849
1722516670131,43,1000000,1849
1722516670135,42,1000000,1764
1722516670139,42,1000000,1764
1722516670143,45,1000000,2025
1722516670147,43,1000000,1849
