exp_id,node_id,rx_gain_ch0,rx_gain_ch1,rx_gain_diff,angle_diff,angle_diff_std,max_IQ_ampl_ch0,max_IQ_ampl_ch1
20240911194521,T04,2.0,32.0,30.0,-82.48776145139335,0.12873797897053263,0.0127567835,0.102328934
20240911194521,T04,0.0,18.0,18.0,-80.85289650676783,2.528199736066337,0.0128178205,0.023072077
20240911194521,T04,2.0,33.0,31.0,-82.4842722258394,0.12076614095699569,0.012878858,0.11551298
20240911194521,T04,2.0,34.0,32.0,105.17394727048008,2.2586211378182557,0.012787302,0.14383426
20240911194521,T04,2.0,35.0,33.0,102.46026315286107,0.12697722407382012,0.012787302,0.15006006
20240911194521,T04,2.0,36.0,34.0,98.53357407623899,0.11937380373767739,0.0128178205,0.17197242
20240911194521,T04,2.0,37.0,35.0,98.51527296483948,0.12597831578425817,0.0128178205,0.19650939
20240911194521,T04,2.0,38.0,36.0,98.53431462912415,0.12329685758315442,0.0127567835,0.21350826
20240911194521,T04,2.0,39.0,37.0,98.52804890932042,0.11915667868744813,0.012787302,0.24057828
20240911194521,T04,2.0,40.0,38.0,98.53009209330341,0.12971181674677942,0.0127567835,0.26938787
20240911194521,T04,2.0,41.0,39.0,98.5247538272294,0.12138254408163165,0.012787302,0.30366027
20240911194521,T04,2.0,42.0,40.0,98.53381273335636,0.11518059100379882,0.0128178205,0.3410761
20240911194521,T04,0.0,1.0,1.0,-77.90322464868534,0.6348946327249545,0.0128178205,0.0039063836
20240911194521,T04,0.0,19.0,19.0,-79.00819386005699,0.17141284394484158,0.0128178205,0.024964232
20240911194521,T04,2.0,43.0,41.0,98.5301074019851,0.12613019688379196,0.012787302,0.39103508
20240911194521,T04,2.0,44.0,42.0,98.5350103367951,0.12148891638153043,0.0127567835,0.42475817
20240911194521,T04,2.0,45.0,43.0,98.54126195575142,0.11575186879517899,0.012787302,0.47883716
20240911194521,T04,2.0,46.0,44.0,98.53461881286688,0.11437122535849056,0.0127567835,0.5354492
20240911194521,T04,2.0,47.0,45.0,98.5363234203653,0.11464557445662228,0.012787302,0.60457385
20240911194521,T04,2.0,48.0,46.0,98.53912986750474,0.11646938077267063,0.012787302,0.6770861
20240911194521,T04,2.0,49.0,47.0,98.31368286096472,2.8473256969164793,0.012726265,0.90560955
20240911194521,T04,2.0,50.0,48.0,99.41147127685286,2.46410659759774,0.0128178205,1.0000342
20240911194521,T04,2.0,51.0,49.0,98.53467726242698,0.11528081520588411,0.0128178205,0.9476947
20240911194521,T04,2.0,52.0,50.0,98.70636828777745,0.7761602950925354,0.0128178205,1.0000342
20240911194521,T04,0.0,20.0,20.0,-80.99780147542009,0.14878341993294836,0.0127567835,0.025879791
20240911194521,T04,2.0,53.0,51.0,98.41399397834596,2.182800795846612,0.0128178205,1.0000342
20240911194521,T04,2.0,54.0,52.0,97.96184924359078,1.3778994686599226,0.0128178205,1.0000342
20240911194521,T04,2.0,55.0,53.0,105.87871204834492,2.001712368818393,0.0128178205,1.0000342
20240911194521,T04,2.0,56.0,54.0,106.88815247118916,2.090058662492093,0.012787302,1.0000342
20240911194521,T04,2.0,57.0,55.0,107.24293393853289,1.842876008190496,0.012787302,1.0000342
20240911194521,T04,2.0,58.0,56.0,107.76790111954804,1.684756920285404,0.0127567835,1.0000342
20240911194521,T04,2.0,59.0,57.0,107.97977770021872,1.6334889405620658,0.0127567835,1.0000342
20240911194521,T04,2.0,60.0,58.0,108.33604133531658,1.5384774688176595,0.0127567835,1.0000342
20240911194521,T04,2.0,61.0,59.0,108.438885206008,1.6018942980757918,0.012787302,1.0000342
20240911194521,T04,2.0,62.0,60.0,108.28468160279292,1.8974091698140128,0.0128178205,1.0000342
20240911194521,T04,0.0,21.0,21.0,-80.98624670581151,0.14194947269613958,0.012848339,0.028931651
20240911194521,T04,2.0,63.0,61.0,109.04909410716887,1.7828221406386113,0.0127567835,1.0000342
20240911194521,T04,2.0,64.0,62.0,109.47136554876361,1.6214429344653882,0.012787302,1.0000342
20240911194521,T04,2.0,65.0,63.0,109.89652878422793,1.3115012468232818,0.0128178205,1.0000342
20240911194521,T04,2.0,66.0,64.0,108.9569443733684,1.9364926777836822,0.012787302,1.0000342
20240911194521,T04,2.0,67.0,65.0,108.6718189893566,1.9603811802755498,0.012787302,1.0000342
20240911194521,T04,2.0,68.0,66.0,108.58968300122349,1.8155251133427515,0.012787302,1.0000342
20240911194521,T04,2.0,69.0,67.0,107.25115670589817,2.0231938456674716,0.0127567835,1.0000342
20240911194521,T04,2.0,70.0,68.0,107.37373920288678,1.8675284516157087,0.012787302,1.0000342
20240911194521,T04,2.0,71.0,69.0,108.02790293235547,1.274827168541657,0.0127567835,1.0000342
20240911194521,T04,2.0,72.0,70.0,107.59434355058889,1.227269223582575,0.012787302,1.0000342
20240911194521,T04,0.0,22.0,22.0,-83.09079917241625,2.84432316928029,0.012787302,0.032624405
20240911194521,T04,2.0,73.0,71.0,106.79944921915802,1.1279191521255287,0.0127567835,1.0000342
20240911194521,T04,2.0,74.0,72.0,106.45690435628948,1.0199191462835064,0.0128178205,1.0000342
20240911194521,T04,2.0,75.0,73.0,105.85394707253995,0.9995215925104042,0.012787302,1.0000342
20240911194521,T04,2.0,76.0,74.0,104.75409548593254,1.0041890078850988,0.012787302,1.0000342
20240911194521,T04,2.0,77.0,75.0,104.68422717696319,1.0435741549000501,0.012787302,1.0000342
20240911194521,T04,3.0,0.0,-3.0,-77.90969948671015,0.6403748340750162,0.014618419,0.003875865
20240911194521,T04,3.0,1.0,-2.0,-77.90662741980381,0.6323993509111345,0.014648938,0.003875865
20240911194521,T04,3.0,2.0,-1.0,-77.90571694893325,0.6366238692665744,0.014648938,0.0039063836
20240911194521,T04,3.0,3.0,0.0,-77.7952599078483,0.5719366101855226,0.014618419,0.0044252
20240911194521,T04,3.0,4.0,1.0,-77.75002685945411,0.5400559157237197,0.014709975,0.004730386
20240911194521,T04,0.0,23.0,23.0,-80.98742328078299,0.14543831670118954,0.012787302,0.03650027
