x,y,z,utc,dbm,buffer_voltage_mv,resistance,pwr_nw
1.0,2.0,3.0,14:26:57,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.109042252198435,450,1000000,204
1.0,2.0,3.0,14:26:58,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.222693433899067,450,1000000,204
1.0,2.0,3.0,14:26:59,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.88116923269007,379,1000000,140
1.0,2.0,3.0,14:27:00,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-18.553485582343676,1818,441406,7528
1.0,2.0,3.0,14:27:01,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-19.891713021117084,1818,441406,7528
1.0,2.0,3.0,14:27:02,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.77489083408527,1647,695312,3901
1.0,2.0,3.0,14:27:03,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-27.17215934552165,1132,1000000,1283
1.0,2.0,3.0,14:27:04,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-30.280426562306175,117,1000000,13
1.0,2.0,3.0,14:27:05,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.44054938552557,1632,183593,14507
1.0,2.0,3.0,14:27:06,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.539590924946125,1580,167968,14881
1.0,2.0,3.0,14:27:07,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-19.070158238446844,52,1000000,2
1.0,2.0,3.0,14:27:08,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-18.601518584329778,171,1000000,29
1.0,2.0,3.0,14:27:09,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-19.01181327918644,1018,1000000,1034
1.0,2.0,3.0,14:27:10,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-16.668787493301185,577,1000000,332
1.0,2.0,3.0,14:27:11,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.25364426513768,227,1000000,48
1.0,2.0,3.0,14:27:12,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.01121827882777,803,1000000,649
1.0,2.0,3.0,14:27:13,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.871389355812244,1276,1000000,1630
1.0,2.0,3.0,14:27:14,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.181498923459642,51,1000000,2
1.0,2.0,3.0,14:27:15,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-27.793558788063322,173,1000000,29
1.0,2.0,3.0,14:27:16,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.882119820899636,564,1000000,318
