timestamp,x,y,z,utc,dbm,buffer_voltage_mv,resistance,pwr_nw
1718719839.86555,1.0,2.0,3.0,16:10:38,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.20717297696048,1635,789062,3387
1718719840.413585,1.0,2.0,3.0,16:10:38,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.236478919643247,1635,789062,3387
1718719840.951386,1.0,2.0,3.0,16:10:39,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.28354804127268,1625,785156,3354
1718719841.4814677,1.0,2.0,3.0,16:10:39,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.376000170986558,1625,785156,3354
1718719842.012401,1.0,2.0,3.0,16:10:40,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.25807709203498,1625,785156,3354
1718719842.5314617,1.0,2.0,3.0,16:10:40,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.306129284432572,1630,785156,3383
1718719843.052717,1.0,2.0,3.0,16:10:41,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.24300339898678,1630,785156,3383
1718719843.5678384,1.0,2.0,3.0,16:10:41,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.086129033274446,1630,785156,3383
1718719844.1066382,1.0,2.0,3.0,16:10:42,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.404688031077605,1625,785156,3350
1718719844.6359904,1.0,2.0,3.0,16:10:42,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.338680820053938,1625,785156,3350
